frame;text
1;O,ATTACKHI4,ATTACKHI4,oo,LR
2;O,ATTACKHI4,ATTACKHI4,oo,LR
3;O,ATTACKHI4,ATTACKHI4,LR
4;O,ATTACKHI4,ATTACKHI4,LR
5;O,ATTACKHI4,ATTACKHI4,_oo,LR
6;O,ATTACKHI4,ATTACKHI4,LR
7;O,ATTACKHI4,ATTACKHI4,_oo,LR
8;O,ATTACKHI4,ATTACKHI4,_oo,LR
9;O,ATTACKHI4,ATTACKHI4,LR
10;O,ATTACKHI4,ATTACKHI4,_oo,LR
11;O,ATTACKHI4,ATTACKHI4,10,00,LR
12;O,ATTACKHI4,ATTACKHI4,11.00,LR
13;O,ATTACKHI4,ATTACKHI4,12,00,LR
14;O,ATTACKHI+,ATTACKHI4,13,00,LR
15;O,ATTACKHI4,ATTACKHI4,14,00,LR
16;O,ATTACKHI+,ATTACKHI4,15,00,LR
17;O,ATTACKHI4,ATTACKHI4,1b,00,LR
18;O,ATTACKHI4,ATTACKHI4,17,00,LR
19;O,ATTACKHI4,ATTACKHI4,16,00,LR
20;O,ATTACKHI4,ATTACKHI4,19,00,LR
21;O,ATTACKHI4,ATTACKHI4,20,00,LR
22;O,ATTACKHI4,ATTACKHI4,21,00,LR
23;O,ATTACKHI+,ATTACKHI4,e2_.oo,LR
24;O,ATTACKHI4,ATTACKHI4,23,00,LR
25;O,ATTACKHI4,ATTACKHI4,e4,oo,LR
26;O,ATTACKHI+,ATTACKHI4,25,00,LR
27;oq,oo,"92,HIHADVLLV,hHIHADVLIV,O
28;O,ATTACKHI4,ATTACKHI4,27,00,LR
29;O,ATTACKHI4,ATTACKHI4,28,00,LR
30;O,ATTACKHI+,ATTACKHI4,29,00,LR
31;O,ATTACKHI4,ATTACKHI4,30,00,LR
32;O,ATTACKHI4,ATTACKHI4,31,_oo,LR
33;O,ATTACKHI4,ATTACKHI4,32,00,LR
34;O,ATTACKHI4,ATTACKHI4,33,00,LR
35;O,ATTACKHI4,ATTACKHI4,34,_o00,LR
36;O,ATTACKHI4,ATTACKHI4,3S_o00,LR
37;O,ATTACKHI4,ATTACKHI4,3b_,00,LR
38;O,ATTACKHI+,ATTACKHI4,37,00,LR
39;O,ATTACKHI4,ATTACKHI4,38_00,LR
40;O,ATTACKHI+,ATTACKHI4,39,00,LR
41;O,ATTACKHI4,ATTACKHI4,40,00,LR
42;O,ATTACKHI4,ATTACKHI4,4!,_oo,LR
43;O,ATTACKHI4,ATTACKHI4,42,00,LR
44;O,ATTACKHI4,ATTACKHI4,43,00,LR
45;O,ATTACKHI4,ATTACKHI4,44,_00,LR
46;O,ATTACKHI4,ATTACKHI4,4+S_00,LR
47;O,ATTACKHI4,ATTACKHI4,4b_00,LR
48;aS,|,oo"2h,hHIHADVLLIV,hHIHADVLiLlvY,O
49;O,ATTACKHI4,ATTACKHI4,48_00,LR
50;O,ATTACKHI4,ATTACKHI4,49,00,LR
51;O,ATTACKHI4,ATTACKHI4,so_oo,LR
52;O,ATTACKHI4,ATTACKHI4,s!1.00,LR
53;O,ATTACKHI4,ATTACKHI4,s2e_o0,LR
54;O,ATTACKHI+,ATTACKHI4,$3,000,LR
55;O,ATTACKHI+,ATTACKHI4,s4¥_o0o,LR
56;O,ATTACKHI4,ATTACKHI4,ss_oo,LR
57;O,ATTACKHI4,ATTACKHI4,Sb,_,00,LR
58;O,ATTACKHI+,ATTACKHI4,s7_o00,LR
59;O,ATTACKHI4,ATTACKHI4,sa_oo,LR
60;O,ATTACKHI+,ATTACKHI4,$900,LR
61;O,ATTACKHI4,ATTACKHI4,boO_oo,LR
62;O,ATTACKHI4,ATTACKHI4,b!I,o00,LR
63;O,ATTACKHI4,ATTACKHI4,be_oo,LR
64;O,ATTACKHI4,ATTACKHI4,b3_00,LR
65;O,ATTACKHI4,ATTACKHI4,bY,OO,LR
66;O,ATTACKHI4,ATTACKHI4,bS_,oOo,LR
67;O,ATTACKHI4,ATTACKHI4,bb,_OO,LR
68;O,ATTACKHI4,ATTACKHI4,b7_oOO0,LR
69;O,ATTACKHI4,ATTACKHI4,bs,oo,LR
70;O,ATTACKHI4,ATTACKHI4,69,00,LR
71;O,ATTACKHI+,ATTACKHI4,70,00,LR
72;O,ATTACKHI4,ATTACKHI4,71,00,LR
73;O,ATTACKHI+,ATTACKHI4,72,00,LR
74;O,ATTACKHI+,ATTACKHI4,73,00,LR
75;O,ATTACKHI4,ATTACKHI4,74,oO,LR
76;O,ATTACKHI+,ATTACKHI4,75,00,LR
77;O,ATTACKHI4,ATTACKHI4,7b_,O00,LR
78;O,ATTACKHI+,ATTACKHI4,77,00,LR
