frame;text
1;O,ATTACKAIRG,ATTACKAIRB,oo
2;O,ATTACKAIRG,ATTACKAIRB
3;O,ATTACKAIRG,ATTACKAIRB
4;O,ATTACKAIRG,ATTACKAIRB,_oo
5;O,ATTACKAIRG,ATTACKAIRB
6;O,ATTACKAIRG,ATTACKAIRB,_oo
7;O,ATTACKAIRG,ATTACKAIRB,_oo
8;O,ATTACKAIRG,ATTACKAIRB
9;O,ATTACKAIRG,ATTACKAIRB,_oo
10;O,ATTACKAIRG,ATTACKAIRB,10,00
11;O,ATTACKAIRG,ATTACKAIRB,oo
12;O,ATTACKAIRG,ATTACKAIRB,12,00
13;O,ATTACKAIRG,ATTACKAIRB,13,00
14;O,ATTACKAIRG,ATTACKAIRB,14,00
15;O,ATTACKAIRG,ATTACKAIRB,15,00
16;O,ATTACKAIRG,ATTACKAIRB,1b,00
17;O,ATTACKAIRG,ATTACKAIRB,17,00
18;O,ATTACKAIRG,ATTACKAIRB,16,00
19;O,ATTACKAIRG,ATTACKAIRB,19,00
20;O,ATTACKAIRG,ATTACKAIRG,20,00
21;O,ATTACKAIRG,ATTACKAIRG,el,_oo
22;O,ATTACKAIRG,ATTACKAIRG,e2_.oo
23;O,ATTACKAIRG,ATTACKAIRG,23,00
24;O,ATTACKAIRG,ATTACKAIRG,e4,oo
25;O,ATTACKAIRG,ATTACKAIRG,25,00
26;O,ATTACKAIRG,ATTACKAIRG,2b_00
27;oo"2ea,BUIVADVLLV,BMIVaADVLIV,Oo
28;O,ATTACKAIRG,ATTACKAIRB,28,00
29;O,ATTACKAIRG,ATTACKAIRG,29,00
30;O,ATTACKAIRG,ATTACKAIRG,30,00
31;O,ATTACKAIRG,ATTACKAIRG,31,_oo
32;00,"2e,BUIVADVLLV,BMIVaADVLIV,Oo
33;00,"cE,BULVADVLLV,BMIVaADVLIV,Oo
34;00",hE,BYIVADVLIV,euIvaovilv,O
35;00,"se,BULVADVLLV,BMIVaADVLIV,Oo
36;00,"Se,BYIVADVLIV,euIvaovilv,O
37;oo,"ze,BULVADVLLV,BMIVaADVLIV,Oo
38;O,ATTACKAIRG,ATTACKAIRG,38,00
