frame;text
1;O,ATTACKLWS3,ATTACKLW3,oo
2;O,ATTACKLWS3,ATTACKLW3
3;O,ATTACKLWS3,ATTACKLW3
4;O,ATTACKLWS3,ATTACKLW3,_oo
5;O,ATTACKLWS3,ATTACKLW3
6;O,ATTACKLWS3,ATTACKLW3,_oo
7;O,ATTACKLWS3,ATTACKLW3,_oo
8;O,ATTACKLWS,ATTACKLW3,8,00
9;O,ATTACKLWS3,ATTACKLW3,_oo
10;O,ATTACKLWS3,ATTACKLW3,10,00
11;O,ATTACKLWS3,ATTACKLW3
12;O,ATTACKLWS3,ATTACKLW3,12,00
13;O,ATTACKLWS3,ATTACKLW3,13,00
14;O,ATTACKLWS3,ATTACKLW3,14,00
15;O,ATTACKLWS3,ATTACKLW3,15,00
16;O,ATTACKLWS3,ATTACKLW3,1b,00
17;O,ATTACKLWS3,ATTACKLW3,17,00
18;O,ATTACKLWS3,ATTACKLW3,16,00
19;O,ATTACKLWS3,ATTACKLW3,19,00
20;O,ATTACKLWA,ATTACKLW3,20_00
21;O,ATTACKLWS3,ATTACKLW3,el,_oo
22;O,ATTACKLWS3,ATTACKLW3,e2_.oo
