frame;text
1;O,ATTACKAIRG,ATTACKAIRG,oo
2;O,ATTACKAIRG,ATTACKAIRG
3;O,ATTACKAIRG,ATTACKAIRG
4;O,ATTACKAIRG,ATTACKAIRG,_oo
5;O,ATTACKAIRG,ATTACKAIRG
6;O,ATTACKAIRG,ATTACKAIRB,_oo
7;O,ATTACKAIRG,ATTACKAIRB,_oo
8;O,ATTACKAIRG,ATTACKAIRB
9;O,ATTACKAIRG,ATTACKAIRB,_oo
10;O,ATTACKAIRG,ATTACKAIRB,10,00
11;O,ATTACKAIRG,ATTACKAIRB,oo
12;O,ATTACKAIRG,ATTACKAIRB,12,00
13;O,ATTACKAIRG,ATTACKAIRB,13,00
14;O,ATTACKAIRG,ATTACKAIRB,14,00
15;O,ATTACKAIRG,ATTACKAIRB,15,00
16;O,ATTACKAIRG,ATTACKAIRB,1b,00
17;O,ATTACKAIRG,ATTACKAIRG,17,00
18;O,ATTACKAIRG,ATTACKAIRG,16,00
19;O,ATTACKAIRG,ATTACKAIRG,19,00
20;O,ATTACKAIRG,ATTACKAIRG,20,00
21;O,ATTACKAIRG,ATTACKAIRG,el,_oo
22;O,ATTACKAIRG,ATTACKAIRG,e2_.oo
23;O,ATTACKAIRG,ATTACKAIRG,23,00
24;00",2,BYIVADVLIV,euIvaovilv,O
25;O,ATTACKAIRG,ATTACKAIRB,25,00
26;O,ATTACKAIRG,ATTACKAIRG,2b_00
27;O,ATTACKAIRG,ATTACKAIRG,e7,00
