frame;text
1;O,ATTACKAIRG,ATTACKAIRG,oo
2;O,ATTACKAIRG,ATTACKAIRG
3;O,ATTACKAIRG,ATTACKAIRG
4;O,ATTACKAIRG,ATTACKAIRG,_oo
5;O,ATTACKAIRG,ATTACKAIRG
6;O,ATTACKAIRG,ATTACKAIRG,_oo
7;O,ATTACKAIRG,ATTACKAIRG,_oo
8;O,ATTACKAIRG,ATTACKAIRG
9;O,ATTACKAIRG,ATTACKAIRG,_oo
10;O,ATTACKAIRG,ATTACKAIRG,10,00
11;O,ATTACKAIRG,ATTACKAIRG,oo
12;O,ATTACKAIRG,ATTACKAIRG,12,00
13;O,ATTACKAIRG,ATTACKAIRG,13,00
14;O,ATTACKAIRG,ATTACKAIRG,14,00
15;O,ATTACKAIRG,ATTACKAIRG,15,00
16;O,ATTACKAIRG,ATTACKAIRG,1b,00
17;O,ATTACKAIRG,ATTACKAIRG,17,00
18;O,ATTACKAIRG,ATTACKAIRG,16,00
19;O,ATTACKAIRG,ATTACKAIRG,19,00
20;O,ATTACKAIRG,ATTACKAIRG,20,00
21;O,ATTACKAIRG,ATTACKAIRG,el,_oo
22;O,ATTACKAIRG,ATTACKAIRG,e2_.oo
23;O,ATTACKAIRG,ATTACKAIRG,23,00
24;O,ATTACKAIRG,ATTACKAIRG,e4,oo
25;O,ATTACKAIRG,ATTACKAIRG,25,00
26;O,ATTACKAIRG,ATTACKAIRG,2b_00
27;O,ATTACKAIRG,ATTACKAIRG,e7,00
28;O,ATTACKAIRG,ATTACKAIRG,28,00
29;O,ATTACKAIRG,ATTACKAIRG,29,00
30;O,ATTACKAIRG,ATTACKAIRG,30,00
31;O,ATTACKAIRG,ATTACKAIRG,31,_oo
32;O,ATTACKAIRG,ATTACKAIRG,32,00
33;O,ATTACKAIRG,ATTACKAIRG,33,00
34;O,ATTACKAIRG,ATTACKAIRG,34,_o00
35;O,ATTACKAIRG,ATTACKAIRG,35,00
36;O,ATTACKAIRG,ATTACKAIRG,3b,_00
37;O,ATTACKAIRG,ATTACKAIRG,37,00
38;O,ATTACKAIRG,ATTACKAIRG,38,00
39;O,ATTACKAIRG,ATTACKAIRG,39,00
40;O,ATTACKAIRG,ATTACKAIRG,40,00
41;O,ATTACKAIRG,ATTACKAIRG,4!,oo
42;O,ATTACKAIRG,ATTACKAIRG,42,00
43;O,ATTACKAIRG,ATTACKAIRG,43,00
44;O,ATTACKAIRG,ATTACKAIRG,44,_00
45;O,ATTACKAIRG,ATTACKAIRG,4+S_00
46;O,ATTACKAIRG,ATTACKAIRG,+b_OO
47;O,ATTACKAIRG,ATTACKAIRG,47,00
48;O,ATTACKAIRG,ATTACKAIRG,46,00
49;O,ATTACKAIRG,ATTACKAIRG,49,00
50;O,ATTACKAIRG,ATTACKAIRG,so_.o00
51;O,ATTACKAIRG,ATTACKAIRG,si,_oo
52;O,ATTACKAIRG,ATTACKAIRG,se_oo
53;O,ATTACKAIRG,ATTACKAIRG,$3,000
54;O,ATTACKAIRG,ATTACKAIRG,s4¥_o0o
55;O,ATTACKAIRG,ATTACKAIRG,ss_oo
56;O,ATTACKAIRG,ATTACKAIRG,Sb_oOo
57;O,ATTACKAIRG,ATTACKAIRG,s7_o00
58;O,ATTACKAIRG,ATTACKAIRG,s6_.o00
