frame;text
1;O,ATTACKLWS3,ATTACKLW3,oo
2;O,ATTACKLWS3,ATTACKLW3
3;O,ATTACKLWS3,ATTACKLW3
4;O,ATTACKLWS3,ATTACKLW3,_oo
5;O,ATTACKLWS3,ATTACKLW3
6;O,ATTACKLWS3,ATTACKLW3,_oo
7;O,ATTACKLWS3,ATTACKLW3,_oo
8;O,ATTACKLWS,ATTACKLW3,8,00
9;O,ATTACKLWS3,ATTACKLW3,94,00
10;O,ATTACKLWS3,ATTACKLW3,10,00
11;O,ATTACKLWS3,ATTACKLW3
12;O,ATTACKLWS3,ATTACKLW3,12,00
13;oo"e!,EMIXaDVLLIV,EM1>y,2vVLiv,oO
14;O,ATTACKLWS3,ATTACKLW3,14,00
15;O,ATTACKLWS3,ATTACKLW3,15,00
16;O,ATTACKLWS3,ATTACKLW3,1b,00
17;O,ATTACKLWS3,ATTACKLW3,17,00
18;O,ATTACKLWS3,ATTACKLW3,16,00
19;O,ATTACKLWS3,ATTACKLW3,19,00
20;O,ATTACKLWS3,ATTACKLW3,20,00
21;O,ATTACKLWS3,ATTACKLW3,el,_oo
22;O,ATTACKLWS3,ATTACKLW3,e2_.oo
23;O,ATTACKLWS3,ATTACKLW3,23,00
24;O,ATTACKLWS3,ATTACKLW3,e4,oo
25;O,ATTACKLWS3,ATTACKLW3,25,00
26;O,ATTACKLWS3,ATTACKLW3,2b_00
27;O,ATTACKLWS3,ATTACKLW3,e7,00
28;O,ATTACKLWS3,ATTACKLW3,28,00
