frame;text
1;O,ATTACKAIRF,ATTACKAIRF,oo
2;O,ATTACKAIRF,ATTACKAIRF
3;O,ATTACKAIRF,ATTACKAIRF
4;O,ATTACKAIRF,ATTACKAIRF,_oo
5;O,ATTACKAIRF,ATTACKAIRF
6;O,ATTACKAIRF,ATTACKAIRF,_oo
7;O,ATTACKAIRF,ATTACKAIRF,_oo
8;O,ATTACKAIRF,ATTACKAIRE
9;O,ATTACKAIRF,ATTACKAIRF,_oo
10;O,ATTACKAIRF,ATTACKAIRF,10,00
11;O,ATTACKAIRF,ATTACKAIRF,oo
12;O,ATTACKAIRF,ATTACKAIRF,12,00
13;O,ATTACKAIRF,ATTACKAIRF,13,00
14;O,ATTACKAIRF,ATTACKAIRF,14,00
15;O,ATTACKAIRF,ATTACKAIRF,15,00
16;O,ATTACKAIRF,ATTACKAIRF,1b,00
17;O,ATTACKAIRF,ATTACKAIRF,17,00
18;O,ATTACKAIRF,ATTACKAIRF,16,00
19;O,ATTACKAIRF,ATTACKAIRF,19,00
20;O,ATTACKAIRF,ATTACKAIRF,20,00
21;O,ATTACKAIRF,ATTACKAIRF,el,_oo
22;O,ATTACKAIRF,ATTACKAIRF,e2_.oo
23;O,ATTACKAIRF,ATTACKAIRF,23,00
24;O,ATTACKAIRF,ATTACKAIRF,e4,oo
25;O,ATTACKAIRF,ATTACKAIRF,25,00
26;O,ATTACKAIRF,ATTACKAIRF,2b_00
27;O,ATTACKAIRF,ATTACKAIRF,e7,00
28;O,ATTACKAIRF,ATTACKAIRF,28,00
29;O,ATTACKAIRF,ATTACKAIRF,29,00
30;O,ATTACKAIRF,ATTACKAIRF,30,00
31;O,ATTACKAIRF,ATTACKAIRE,31,_oo
32;00,"2e,JMIVADVLLV,JMIVaDVLIv,oO
33;00,"cE,JSULVADVLLV,JMIVADVLIV,O
34;00",hE,JMNIVADVLIV,JuIVaDVLIV,oO
35;O,ATTACKAIRF,ATTACKAIRF,35,00
36;O,ATTACKAIRF,ATTACKAIRF,3b,_00
37;O,ATTACKAIRF,ATTACKAIRF,37,00
38;O,ATTACKAIRF,ATTACKAIRF,38,00
39;O,ATTACKAIRF,ATTACKAIRF,39,00
40;O,ATTACKAIRF,ATTACKAIRF,40,00
