frame;text
1;O,ATTACKSAS,ATTACKSAS,oo
2;O,ATTACKSAS,ATTACKSAS
3;O,ATTACKSAS,ATTACKSAS
4;O,ATTACKSAS,ATTACKSAS,_oo
5;O,ATTACKSAS,ATTACKSAS,s_,oo
6;O,ATTACKSAS,ATTACKSAS,b_oOOo
7;O,ATTACKSAS,ATTACKSAS,_oo
8;O,ATTACKSAS,ATTACKSAS
9;O,ATTACKSAS,ATTACKSAS,_oo
10;O,ATTACKSAS,ATTACKSAS,10,00
11;O,ATTACKSAS,ATTACKSAS,oo
12;O,ATTACKSAS,ATTACKSAS,12,00
13;O,ATTACKSAS,ATTACKSAS,13,00
14;O,ATTACKSAS,ATTACKSAS,14,00
15;O,ATTACKSAS,ATTACKSAS,15,00
16;O,ATTACKSAS,ATTACKSAS,1b,00
17;O,ATTACKSAS,ATTACKSAS,17,00
18;O,ATTACKSAS,ATTACKSAS,16,00
19;O,ATTACKSAS,ATTACKSAS,19,00
20;O,ATTACKSAS,ATTACKSAS,20,00
21;O,ATTACKSAS,ATTACKSAS,el,_oo
22;O,ATTACKSAS,ATTACKSAS,e2_.oo
23;O,ATTACKSAS,ATTACKSAS,23,00
24;O,ATTACKSAS,ATTACKSAS,e4,oo
25;O,ATTACKSAS,ATTACKSAS,25,00
26;O,ATTACKSAS,ATTACKSAS,2b_00
27;O,ATTACKSAS,ATTACKSAS,e7,00
28;O,ATTACKSAS,ATTACKS3S,28,00
29;O,ATTACKSAS,ATTACKS3S,29,00
30;O,ATTACKSAS,ATTACKS3S,30,00
31;O,ATTACKSAS,ATTACKS3S,31,_oo
