frame;text
1;Oo,34a,O,SLEEP,303,1.00,-1,oo
2;Oo,34a,O,SLEEP,303,2.00,-1,oo
3;3,00,_oo,303
4;Oo,34a,O,SLEEP,303,4_o00,-1,00
5;Oo,34a,O,SLEEP,303,s_oo,=-1,oo
6;Oo,34a,O,SLEEP,303,boo,-1,oo
7;Oo,34a,O,SLEEP,303,7.00,-1,oo
8;Oo,34a,O,SLEEP,303,8.00,-1,00
9;Oo,34a,O,SLEEP,303,9_o00,-1,oo
10;Oo,34a,O,SLEEP,303,10,,-I,oo,"oo
11;Oo,34a,O,SLEEP,303
12;Oo,O,SLEEP,344,303,12,00,-1,00
13;Oo,34a,O,SLEEP,303
14;Oo,34a,O,SLEEP,303,14,00,-1°00
15;Oo,34a,O,SLEEP,303,1S,,-I,oo,"oo
16;Oo,34a,O,SLEEP,303,Ib,,-1,oo,"oo
17;Oo,34a,O,SLEEP,303
18;Oo,34a,O,SLEEP,303,oo,"oo
19;Oo,34a,O,SLEEP,303,9,,-I,oo,"oo
20;Oo,34a,O,SLEEP,303
21;Oo,34a,O,SLEEP,303
22;Oo,34a,O,SLEEP,303,22,,-!,oo,"oo
23;Oo,34a,O,SLEEP,303,23,,-!,oo,"oo
24;Oo,34a,O,SLEEP,303,24,,-I,oo,"oo
25;Oo,34a,O,SLEEP,303,es,,-ty,oo,oo
26;Oo,34a,O,SLEEP,303,Ly,2b,,-!,oo,"oo
27;Oo,O,SLEEP,349,303,27,00,-1'o0
28;Oo,34a,O,SLEEP,303,28,,-!,oo,"oo
29;Oo,O,SLEEP,349,303,29,00,-1'o0
30;Oo,34a,O,SLEEP,303,30,,-!,oo,"oo
31;Oo,34a,O,SLEEP,303
32;Oo,34a,O,SLEEP,303,32,,-!,oo,"oo
33;Oo,34a,O,SLEEP,303,33,,-ty,oo,oo
34;_oo,=-1'o0,34,30S
35;_oo,=-1'o0,34,30S
36;_oo,=-1'o0,34,30S
37;_oo,=-1'o0,34,30S
38;_oo,=-1'o0,34,30S
39;_oo,=-1'o0,34,30S
40;_oo,=-1'o0,34,30S
41;_oo,=-1'o0,34,30S
42;_oo,=-1'o0,34,30S
43;_oo,=-1'o0,34,30S
44;_oo,=-1'o0,34,30S
45;_oo,=-1'o0,34,30S
46;_oo,=-1'o0,34,30S
47;_oo,=-1'o0,34,30S
48;_oo,=-1'o0,34,30S
49;_oo,=-1'o0,34,30S
50;_oo,=-1'o0,34,30S
51;_oo,=-1'o0,34,30S
52;_oo,=-1'o0,34,30S
53;_oo,=-1'o0,34,30S
54;Oo,354,O,SLEEP,30b,1.00,-1,oo
55;Oo,354,O,SLEEP,30b,2.00,-1,oo
56;Oo,354,O,SLEEP,30b,3,00,=-1,00
57;Oo,354,O,SLEEP,30b,4,00,-1T_oo
58;Oo,354,O,SLEEP,30b,s_oo,=-1,oo
59;Oo,354,O,SLEEP,30b,boo,-1,oo
60;Oo,354,O,SLEEP,30b,7.00,-1,oo
61;Oo,354,O,SLEEP,30b,8.00,-1,00
62;Oo,354,O,SLEEP,30b,9_o00,-1,oo
63;30b,10,00,-1'o0
64;Oo,354,O,SLEEP,30b
65;30b,12,00,-1'o0
66;Oo,354,O,SLEEP,30b
67;Oo,354,O,SLEEP,30b,14,00,-1°00
68;30b,1S_o0,-1"o0
69;30b,1b,OO,-!"o0
70;Oo,354,O,SLEEP,30b
71;30b,18,00,-!"o0
72;19,00,30,-1*o00
73;Oo,354,O,SLEEP,30b,20,,-ty,oo,oo
74;Oo,354,O,SLEEP,30b
75;Oo,354,O,SLEEP,30b,22,,-!,oo,"oo
76;Oo,354,O,SLEEP,30b,23,,-!,oo,"oo
77;Oo,354,O,SLEEP,30b,24,,-I,oo,"oo
78;Oo,354,O,SLEEP,30b,es,,-ty,oo,oo
79;30b,2b_00,-!"oo
80;30b,27,00,-1'o0
81;Oo,354,O,SLEEP,30b
82;30b,29,00,-1'o0
83;Oo,354,O,SLEEP,30b,30,,-ty,oo,oo
84;Oo,354,O,SLEEP,30b
85;Oo,354,O,SLEEP,30b,32,,-ty,oo,oo
86;Oo,354,O,SLEEP,30b,33,,-ty,oo,oo
87;30b,34,oo,=-1'o0
88;Oo,354,O,SLEEP,30b,3s,,-ty,oo,oo
89;30b,3b,,00,-1'o0
90;30b,37,00,=-1'o0
91;Oo,354,O,SLEEP,30b,38,,-ty,oo,oo
92;30b,39,00,=-17o0
93;30b,40_00,-1'o0
94;Oo,354,O,SLEEP,30b
95;30b,42_00,-''o0
96;Oo,354,O,SLEEP,30b,43.,-I,oo,"oo
97;Oo,354,O,SLEEP,30b,4400,-1°00
98;Oo,354,O,SLEEP,30b,4S.,-I,oo,"oo
99;Oo,354,O,SLEEP,30b,4b.,-I,oo,"oo
100;Oo,354,O,SLEEP,30b,47),-I,oo,"oo
101;30b,48_00,-!'oo0
102;4+9_00,30,-1*o00
103;Oo,354,O,SLEEP,30b,so,,-ty,oo,oo
104;Oo,354,O,SLEEP,30b
105;Oo,354,O,SLEEP,30b,s2,,-ty,oo,oo
106;Oo,354,O,SLEEP,30b,s3,,-ty,oo,oo
107;30b,s4¥_o0,=-17o0
108;Oo,354,O,SLEEP,30b,ss.,-ty,oo,oo
109;30b,Sb_oo,-1"o0
110;30b,s?7_o00,-1'o0
111;Oo,354,O,SLEEP,30b,se.,-ty,oo,oo
112;30b,s9_o00,=-17o0
113;30b,boO_oo,-1"o0
