frame;text
1;oO,343,eas,oo
2;oO,343,eas
3;oO,343,eas
4;oO,343,eas,_oo
5;oO,343,eas
6;oO,343,eas,_oo
7;oO,343,eas,_oo
8;oO,343,eas
9;oO,343,eas,_oo
10;oO,343,295,10,00
11;oO,343,eas,oo
12;oO,343,295,12,00
13;oO,343,295,13,00
14;oO,343,295,14,00
15;oO,343,295,1S_o00
16;oO,343,295,1b,,00
17;oO,343,295,17,00
18;oO,343,295,18,00
19;oO,343,295,19,00
20;oO,343,e955,20,00
21;oO,343,295,21,00
22;oO,343,e955,e2_.oo
23;oO,343,e955,23,00
24;oO,343,295,24,00
25;_oo,es,eas,oO,343
26;oO,343,e955,2b_00
27;oO,343,295,27,00
28;oO,343,e955,28,00
29;29_00,eas,oO,343
30;oO,343,e955,30,00
31;oO,343,295,31,00
32;oO,343,e955,32,00
33;oO,343,e955,33,00
34;oO,343,295,34,oo
35;oO,343,e955,35,00
36;oO,343,3b,,00
37;oO,343,37,00
38;oO,343,e955,38,00,.,.,*,°,.,*',a6,re,Pll,.,.,os,".,y,.,
39;oO,343,295,39,00,.,>,*,e,.,‘s,¢-,x,é**,»,},a,.,_,*.
40;oO,343,eas,40,00,e,.,au,8,.,"a?,.,aa,.”,.,.,.,a,.,ous,.,sos,oe,.,.,-,=,2,8,.,.,.?,.*,.,.,.,.,.,.,.,s-,"2,.
41;oO,343,eas,4!,oo
42;oO,343,295,42_00
