frame;text
1;O,ATTACKDASH,ATTACKDASH,oo
2;O,ATTACKDASH,ATTACKDASH
3;O,ATTACKDASH,ATTACKDASH
4;O,ATTACKDASH,ATTACKDASH,_oo
5;O,ATTACKDASH,ATTACKDASH
6;O,ATTACKDASH,ATTACKDASH,_oo
7;O,ATTACKDASH,ATTACKDASH,_oo
8;O,ATTACKDASH,ATTACKDASH
9;O,ATTACKDASH,ATTACKDASH,_oo
10;ar,oo"o1,HS,Vda,9DVLIV,HSvdxaovLiv,O
11;oo,HS,Vda,oVLIV,HSvdaovliv,O
12;SOF,.,~,oo"?!,HSVdaDVLIV,HSvdxaovLiv,O
13;O,ATTACKDASH,ATTACKDASH,13,00
14;O,ATTACKDASH,ATTACKDASH,14,00
15;O,ATTACKDASH,ATTACKDASH,15,00,by
16;O,ATTACKDASH,ATTACKDASH,Ib_O0
17;O,ATTACKDASH,ATTACKDASH,17,00
18;O,ATTACKDASH,ATTACKDASH,18,00
19;O,ATTACKDASH,ATTACKDASH,19,00
20;oo"oe,HS,Vda,9DVLIV,HSvdxaovLiv,O
21;O,ATTACKDASH,ATTACKDASH,el,_oo
22;oo"ze,HS,Vda,9DVLIV,HSvdxaovLiv,O
23;oo"cea,HS,Vda,9DVLIV,HSvdxaovLiv,O
24;00",2,HS,Vda,DVLLIV,HSvdyovilv,O
25;oo"sa,HS,Vda,9DVLIV,HSvdxaovLiv,O
26;oo,"92,HS,Vda,DVLLIV,HSvdyovilv,O
27;oo"2ea,HS,Vda,9DVLIV,HSvdxaovLiv,O
28;oo"B2,HS,Vda,9DVLIV,HSvdxaovLiv,O
29;00,"be,HS,Vda,9DVLIV,HSvdxaovLiv,O
30;00,"OE,HS,Vda,9DVLIV,HSvdxaovLiv,O
31;O,ATTACKDASH,ATTACKDASH,31,_oo
32;00,"2e,HS,Vda,9DVLIV,HSvdxaovLiv,O
33;00,"cE,HS,Vda,9DVLIV,HSvdxaovLiv,O
34;00",hE,HS,Vda,DVLLIV,HSvdyovilv,O
35;00,"se,HS,Vda,9DVLIV,HSvdxaovLiv,O
36;00,"Se,HS,Vda,DVLLIV,HSvdyovilv,O
