frame;text
1;O,ATTACKHIS3Z,ATTACKHI3,oo
2;O,ATTACKHIS3Z,ATTACKHI3
3;O,ATTACKHIS3Z,ATTACKHI3
4;O,ATTACKHIS3Z,ATTACKHI3,_oo
5;O,ATTACKHIS3Z,ATTACKHI3
6;O,ATTACKHIS3Z,ATTACKHI3,_oo
7;O,ATTACKHIS3Z,ATTACKHI3,_oo
8;O,ATTACKHIS3Z,ATTACKHI3
9;O,ATTACKHIS3Z,ATTACKHI3,_oo
10;O,ATTACKHIS,ATTACKHI3,10,00
11;O,ATTACKHIS,ATTACKHI3,oo
12;O,ATTACKHIS,ATTACKHI3,12,00
13;O,ATTACKHIS,ATTACKHI3,13,00
14;oo"!,EIHXADVLIV,EIHADVLiv,O
15;O,ATTACKHIS,ATTACKHI3,15,00
16;O,ATTACKHIS,ATTACKHI3,1b,00
17;O,ATTACKHIS,ATTACKHI3,17,00
18;O,ATTACKHIS,ATTACKHI3,16,00
19;O,ATTACKHIS,ATTACKHI3,19,00
20;O,ATTACKHI35,ATTACKHI3,20,00
21;O,ATTACKHIS,ATTACKHI3,el,_oo
22;O,ATTACKHI35,ATTACKHI3,e2_.oo
23;O,ATTACKHI35,ATTACKHI3,23,00
24;O,ATTACKHIS,ATTACKHI3,e4,oo
25;O,ATTACKHI35,ATTACKHI3,25,00
26;O,ATTACKHIS,ATTACKHI3,2b_00
27;O,ATTACKHIS,ATTACKHI3,e7,00
28;O,ATTACKHI35,ATTACKHI3,28,00
29;O,ATTACKHIS,ATTACKHI3,29,00
30;O,ATTACKHI35,ATTACKHI3,30,00
31;O,ATTACKHIS,ATTACKHI3,31,_oo
32;O,ATTACKHI35,ATTACKHI3,32,00
33;O,ATTACKHIS,ATTACKHI3,33,00
34;O,ATTACKHIS,ATTACKHI3,34,_o00
35;O,ATTACKHI35,ATTACKHI3,35,00
36;O,ATTACKHIS,ATTACKHI3,3b,_00
37;O,ATTACKHIS,ATTACKHI3,37,00
38;O,ATTACKHIS,ATTACKHI3,38,00
