frame;text
1;oO,34!,eas,oo
2;oO,34!,eas
3;oO,34!,eas
4;oO,34!,eas,_oo
5;oO,34!,eas
6;oO,34!,eas,_oo
7;oO,34!,eas,_oo
8;oO,34!,eas
9;oO,34!,eas,_oo
10;o,341,295,10,00
11;oO,34!,eas,oo
12;o,341,295,12,00
13;o,341,295,13,00
14;oO,34I,29s,14%,00
15;o,341,295,1S_o00
16;oO,34I,29s,1b,,00
17;oO,34I,29s,17,00
18;o,341,295,18,00
19;oO,34I,29s,19,00
20;oO,34!,2955
21;oO,34!,2955
22;oO,34!
23;oO,34!
24;oO,34!
25;oO,34!
26;o,341,295,2b_00
27;oO,34I,29s,27,00
28;oO,341,28_00
29;oO,34I,29s,29,00
30;o,341,295,30,00
31;o,341,295,31,00
32;
33;oO,341,33,00
34;o,341,295,34,oo
35;o,341,295,3s_o00
36;o,341,295,3b,,00
37;oO,34I,29s,37,00
38;o,341,295,38,00
39;oO,34I,29s,3900
40;o,341,295,40_00
41;oO,34!,eas,4!,oo
42;o,341,295,42_00
43;o,341,295,43,00
44;oO,34I,29s,4400
45;o,341,295,4S_00
46;oO,34I,29s,4b,,00
47;oO,34I,29s,47,00
48;o,341,295,48_00
49;oO,34I,29s,4900
50;o,341,295,so_oo
51;oO,34!,eas,si,_oo
52;o,341,295,s2_o00
53;o,341,295,s3_00
54;o,341,295,s4¥_o00
55;o,341,295,ss_oo
56;o,341,295,Sb_oo
