frame;text
1;Oo,358,O,SLEEP,1.00,-1,oo
2;Oo,358,O,SLEEP,2.00,-1,oo
3;Oo,358,O,SLEEP,3,00,=-1,00
4;Oo,358,O,SLEEP,4_o00,-1,00
5;Oo,358,O,SLEEP,s_oo,=-1,oo
6;Oo,358,O,SLEEP,boo,-1,oo
7;Oo,358,O,SLEEP,7.00,-1,oo
8;Oo,358,O,SLEEP,8.00,-1,00
9;Oo,358,O,SLEEP,9_o00,-1,oo
10;Oo,O,SLEEP,3s8,Bi,10,00,-1'o0
11;Oo,358,O,SLEEP
12;Oo,O,SLEEP,3s8,Bi,12,00,-1'o0
13;Oo,358,O,SLEEP
14;Oo,358,O,SLEEP,14,00,-1°00
15;Oo,O,SLEEP,3s8,Bi,1S_o0,-1"o0
16;Oo,O,SLEEP,3s8,Bi,1b,OO,-!"o0
17;Oo,358,O,SLEEP
18;Oo,358,O,SLEEP,oo,"oo
19;Oo,358,O,SLEEP,9,,-I,oo,"oo
20;Oo,358,O,SLEEP,20,,-ty,oo,oo
21;Oo,358,O,SLEEP
22;Oo,358,O,SLEEP,22,,-ty,oo,oo
23;Oo,358,O,SLEEP,23,,-ty,oo,oo
24;Oo,O,SLEEP,3s8,Bi,24,00,-1'o0
25;Oo,358,O,SLEEP,es,,-ty,oo,oo
26;Oo,O,SLEEP,3s8,Bi,2b_00,-!"oo
27;Oo,O,SLEEP,3s8,Bi,27,00,-1'o0
28;Oo,358,O,SLEEP,28,,-ty,oo,oo
29;Oo,O,SLEEP,3s8,Bi,29,00,-1'o0
30;Oo,358,O,SLEEP,30,,-ty,oo,oo
31;Oo,358,O,SLEEP
32;Oo,358,O,SLEEP,32,,-ty,oo,oo
33;Oo,358,O,SLEEP
34;Oo,O,SLEEP,3s8,Bi,34,oo,=-1'o0
35;Oo,358,O,SLEEP,3s,,-!,oo,"oo
36;oO,359,O,SLEEP,Bb.,-!,oo,"oo
37;Bit,3b,,00,-1'o0
38;Bit,3b,,00,-1'o0
39;Bit,3b,,00,-1'o0
40;oO,359,O,SLEEP
41;Bit,3b,,00,-1'o0
42;Bit,3b,,00,-1'o0
43;Bit,3b,,00,-1'o0
44;Bit,3b,,00,-1'o0
45;oO,359,O,SLEEP,Bb.,-!,oo,"oo
46;oO,359,O,SLEEP,Bb.,-!,oo,"oo
47;oO,359,O,SLEEP,Bb.,-!,oo,"oo
48;oO,359,O,SLEEP,Bb.,-!,oo,"oo
49;oO,359,O,SLEEP,Bb.,-!,oo,"oo
50;oO,359,O,SLEEP,Bb.,-!,oo,"oo
51;oO,359,O,SLEEP,Bb.,-!,oo,"oo
52;oO,359,O,SLEEP,Bb.,-!,oo,"oo
53;3b,,00,-1'o0
54;3b,,00,-1'o0
55;3b,,00,-1'o0
56;O,360,O,SLEEP,1.00,-1,oo
57;O,360,O,SLEEP,2.00,-1,oo
58;O,360,O,SLEEP,3,00,-1T_oo
59;O,360,O,SLEEP,4,00,-1T_oo
60;O,360,O,SLEEP,s,oo,-1T_oo
61;O,360,O,SLEEP,boo,-1,oo
62;O,360,O,SLEEP,7.00,-1,oo
63;O,360,O,SLEEP,8.00,-1,00
64;O,360,O,SLEEP,9_o00,-1,oo
65;O,360,O,SLEEP,10,,-I,oo,"oo
66;O,360,O,SLEEP
67;O,360,O,SLEEP,12,,-I,oo,"oo
68;O,360,O,SLEEP
69;O,360,O,SLEEP,14,00,-1°00
70;Oo,O,SLEEP,3b0,B12,1S_o0,-1"o0
71;Oo,O,SLEEP,3b0,B12,1b,OO,-!"o0,‘~
72;O,360,O,SLEEP
73;Oo,O,SLEEP,3b0,B12,18,00,-!"o0
74;Oo,O,SLEEP,3b0,B12,1900,-1'o0
75;O,360,O,SLEEP,20,,-ty,oo,oo
76;O,360,O,SLEEP
77;O,360,O,SLEEP,22,,-ty,oo,oo
78;O,360,O,SLEEP,23,,-ty,oo,oo
79;Oo,O,SLEEP,3b0,B12,24,00,-1'o0
80;O,360,O,SLEEP,es,,-ty,oo,oo
81;Oo,O,SLEEP,3b0,B12,2b_00,-!"oo
82;Oo,O,SLEEP,3b0,B12,27,00,-1'o0
83;O,360,O,SLEEP,28,,-ty,oo,oo
84;Oo,O,SLEEP,3b0,B12,29,00,-1'o0
85;O,360,O,SLEEP,30,,-ty,oo,oo
86;O,360,O,SLEEP
87;O,360,O,SLEEP,32,,-ty,oo,oo
88;O,360,O,SLEEP,33,,-ty,oo,oo
89;Oo,O,SLEEP,3b0,B12,34,oo,=-1'o0
90;O,360,O,SLEEP,3s,,-ty,oo,oo
91;Oo,O,SLEEP,3b0,B12,3b,,00,-1'o0
92;Oo,O,SLEEP,3b0,B12,37,00,=-1'o0
93;O,360,O,SLEEP,38,,-ty,oo,oo
