frame;text
1;O,ATTACKDASH,ATTACKDASH,oo
2;O,ATTACKDASH,ATTACKDASH
3;O,ATTACKDASH,ATTACKDASH
4;O,ATTACKDASH,ATTACKDASH,_oo
5;O,ATTACKDASH,ATTACKDASH
6;O,ATTACKDASH,ATTACKDASH,_oo
7;O,ATTACKDASH,ATTACKDASH,_oo
8;O,ATTACKDASH,ATTACKDASH
9;O,ATTACKDASH,ATTACKDASH,_oo
10;oo"o1,HS,Vda,9DVLIV,HSvdxaovLiv,O
11;O,ATTACKDASH,ATTACKDASH,oo
12;O,ATTACKDASH,ATTACKDASH,12,00
13;O,ATTACKDASH,ATTACKDASH,13,00
14;O,ATTACKDASH,ATTACKDASH,14,00
15;O,ATTACKDASH,ATTACKDASH,15,00
16;O,ATTACKDASH,ATTACKDASH,1b,00
17;O,ATTACKDASH,ATTACKDASH,17,00
18;O,ATTACKDASH,ATTACKDASH,18,00
19;O,ATTACKDASH,ATTACKDASH,19,00
20;O,ATTACKDASH,ATTACKDASH,20_00
21;O,ATTACKDASH,ATTACKDASH,el,_oo
22;oo"ze,HS,Vda,9DVLIV,HSvdxaovLiv,O
23;oo"cea,HS,Vda,9DVLIV,HSvdxaovLiv,O
24;00",2,HS,Vda,DVLLIV,HSvdyovilv,O
25;oo"sa,HS,Vda,9DVLIV,HSvdxaovLiv,O
26;oo,"92,HS,Vda,DVLLIV,HSvdyovilv,O
27;oo"2ea,HS,Vda,9DVLIV,HSvdxaovLiv,O
28;oo"B2,HS,Vda,9DVLIV,HSvdxaovLiv,O
29;00,"be,HS,Vda,9DVLIV,HSvdxaovLiv,O
30;O,ATTACKDASH,ATTACKDASH,30,00,LR
31;O,ATTACKDASH,ATTACKDASH,31,00,LR
32;O,ATTACKDASH,ATTACKDASH,32,00,LR
33;O,ATTACKDASH,ATTACKDASH,33,00,LR
34;O,ATTACKDASH,ATTACKDASH,34,_o00,LR
35;O,ATTACKDASH,ATTACKDASH,3S.00,LR
36;O,ATTACKDASH,ATTACKDASH,3b,_00,LR
37;O,ATTACKDASH,ATTACKDASH,37,00,LR
38;O,ATTACKDASH,ATTACKDASH,38,00,LR
39;O,ATTACKDASH,ATTACKDASH,39,00,LR
40;O,ATTACKDASH,ATTACKDASH,40,00,LR
41;O,ATTACKDASH,ATTACKDASH,41.00,LR
42;O,ATTACKDASH,ATTACKDASH,42,00,LR
43;O,ATTACKDASH,ATTACKDASH,43,00,LR
44;O,ATTACKDASH,ATTACKDASH,44,_00,LR
45;O,ATTACKDASH,ATTACKDASH,4+S_00,LR
46;O,ATTACKDASH,ATTACKDASH,4b_00,LR
47;O,ATTACKDASH,ATTACKDASH,47,00,LR
48;O,ATTACKDASH,ATTACKDASH,46,00,LR
49;O,ATTACKDASH,ATTACKDASH,49,00,LR
50;O,ATTACKDASH,ATTACKDASH,so.oo0,LR
51;O,ATTACKDASH,ATTACKDASH,s!1.00,LR
52;O,ATTACKDASH,ATTACKDASH,s2?.00,LR
53;O,ATTACKDASH,ATTACKDASH,S3.00,LR
