frame;text
1;O,ATTACKHI4,ATTACKHI4,oo,LR
2;O,ATTACKHI4,ATTACKHI4,oo,LR
3;O,ATTACKHI4,ATTACKHI4,LR
4;O,ATTACKHI4,ATTACKHI4,LR
5;O,ATTACKHI4,ATTACKHI4,_oo
6;O,ATTACKHI4,ATTACKHI4
7;O,ATTACKHI4,ATTACKHI4,_oo
8;O,ATTACKHI4,ATTACKHI4,_oo
9;O,ATTACKHI4,ATTACKHI4
10;O,ATTACKHI4,ATTACKHI4,_oo
11;O,ATTACKHI4,ATTACKHI4,10,00
12;O,ATTACKHI4,ATTACKHI4,oo
13;O,ATTACKHI4,ATTACKHI4,12,00
14;O,ATTACKHI4,ATTACKHI4,13,00
15;O,ATTACKHI4,ATTACKHI4,14%,00
16;O,ATTACKHI4,ATTACKHI4,1S_.o00
17;O,ATTACKHI4,ATTACKHI4,1b,00
18;O,ATTACKHI4,ATTACKHI4,17,00,os
19;O,ATTACKHI4,ATTACKHI4,18,00
20;O,ATTACKHI4,ATTACKHI4,19,00
21;O,ATTACKHI+,ATTACKHI4,20,00
22;O,ATTACKHI4,ATTACKHI4,21,00
23;O,ATTACKHI+,ATTACKHI4,e2_.oo
24;O,ATTACKHI+,ATTACKHI4,23,00
25;O,ATTACKHI4,ATTACKHI4,2400
26;O,ATTACKHI¥,ATTACKHI4,2s_o0
27;O,ATTACKHI4,ATTACKHI4,2b,_00
28;O,ATTACKHI+,ATTACKHI4,e7,00
29;O,ATTACKHI¥,ATTACKHI4,28_00
30;O,ATTACKHI+,ATTACKHI4,29,00
31;O,ATTACKHI¥,ATTACKHI4,30,00
32;O,ATTACKHI4,ATTACKHI4,31,_oo
33;O,ATTACKHI¥,ATTACKHI4,32,00
34;O,ATTACKHI¥,ATTACKHI4,33,00
35;O,ATTACKHI4,ATTACKHI4,3400
36;O,ATTACKHI¥,ATTACKHI4,3s_o00
37;O,ATTACKHI4,ATTACKHI4,3b,00
38;O,ATTACKHI+,ATTACKHI4,37,00
39;O,ATTACKHI¥,ATTACKHI4,38,00
40;O,ATTACKHI+,ATTACKHI4,39,00
