frame;text
1;O,ATTACKHIS3Z,ATTACKHI3,oo
2;O,ATTACKHIS3Z,ATTACKHI3
3;O,ATTACKHIS3Z,ATTACKHI3
4;O,ATTACKHIS3Z,ATTACKHI3,_oo
5;O,ATTACKHIS3Z,ATTACKHI3
6;O,ATTACKHIS3Z,ATTACKHI3,_oo
7;O,ATTACKHIS3Z,ATTACKHI3,_oo
8;O,ATTACKHIS3Z,ATTACKHI3
9;O,ATTACKHIS3Z,ATTACKHI3,_oo
10;O,ATTACKHIS,ATTACKHI3,10,00
11;O,ATTACKHIS3Z,ATTACKHI3,oo
12;O,ATTACKHIS,ATTACKHI3,12,00
13;O,ATTACKHIS,ATTACKHI3,13,00
14;O,ATTACKHIS,ATTACKHI3,14,00
15;O,ATTACKHIS,ATTACKHI3,15,00
16;O,ATTACKHIS,ATTACKHI3,1b,00
17;O,ATTACKHIS,ATTACKHI3,17,00
18;O,ATTACKHIS,ATTACKHI3,16,00
19;O,ATTACKHIS,ATTACKHI3,19,00
20;O,ATTACKHIS,ATTACKHI3,20,00
21;O,ATTACKHIS3Z,ATTACKHI3,el,_oo
22;O,ATTACKHIS,ATTACKHI3,e2_.oo
23;O,ATTACKHIS,ATTACKHI3,23,00
24;O,ATTACKHIS,ATTACKHI3,e4,oo
25;O,ATTACKHIS,ATTACKHI3,25,00
26;O,ATTACKHIS,ATTACKHI3,2b_00
27;O,ATTACKHIS,ATTACKHI3,e7,00
28;O,ATTACKHIS,ATTACKHI3,28,00
