frame;text
1;O,ATTACKHI4,ATTACKHI4,oo
2;O,ATTACKHI4,ATTACKHI4,oo
3;O,ATTACKHI4,ATTACKHI4,2,00
4;O,ATTACKHI4,ATTACKHI4,3,00
5;O,ATTACKHI4,ATTACKHI4,4,00
6;O,ATTACKHI4,ATTACKHI4
7;O,ATTACKHI4,ATTACKHI4,_oo
8;O,ATTACKHI4,ATTACKHI4,_oo
9;O,ATTACKHI4,ATTACKHI4
10;O,ATTACKHI4,ATTACKHI4,_oo
11;O,ATTACKHI4,ATTACKHI4,10,00
12;O,ATTACKHI4,ATTACKHI4,oo
13;O,ATTACKHI4,ATTACKHI4,12,00
14;O,ATTACKHI4,ATTACKHI4,13,00
15;O,ATTACKHI4,ATTACKHI4,14%,00
16;O,ATTACKHI4,ATTACKHI4,1S_.o00
17;O,ATTACKHI4,ATTACKHI4,1b,00
18;O,ATTACKHI4,ATTACKHI4,17,00
19;O,ATTACKHI4,ATTACKHI4,18,00
20;O,ATTACKHI4,ATTACKHI4,19,00
21;O,ATTACKHI+,ATTACKHI4,20,00
22;O,ATTACKHI4,ATTACKHI4,21,00
23;O,ATTACKHI+,ATTACKHI4,e2_.oo
24;O,ATTACKHI+,ATTACKHI4,23,00
25;O,ATTACKHI4,ATTACKHI4,2400
26;O,ATTACKHI+,ATTACKHI4,25,00
27;O,ATTACKHI¥,ATTACKHI4,2b_00
28;O,ATTACKHI+,ATTACKHI4,e7,00
29;O,ATTACKHI+,ATTACKHI4,28,00
30;O,ATTACKHI+,ATTACKHI4,29,00
31;O,ATTACKHI+,ATTACKHI4,30,00
32;O,ATTACKHI4,ATTACKHI4,_oo
33;O,ATTACKHI+,ATTACKHI4,32,00
34;O,ATTACKHI+,ATTACKHI4,33,00
35;O,ATTACKHI4,ATTACKHI4,3400
36;O,ATTACKHI+,ATTACKHI4,35,00
37;O,ATTACKHI¥,ATTACKHI4,3b,,00
38;O,ATTACKHI+,ATTACKHI4,37,00
39;O,ATTACKHI+,ATTACKHI4,38,00
40;O,ATTACKHI+,ATTACKHI4,39,00
41;O,ATTACKHI4,ATTACKHI4,40,00
42;O,ATTACKHI4,ATTACKHI4,4!,oo
43;O,ATTACKHI4,ATTACKHI4,42,00
44;O,ATTACKHI4,ATTACKHI4,43,00
45;O,ATTACKHI4,ATTACKHI4,4400
46;O,ATTACKHI4,ATTACKHI4,45,00
47;O,ATTACKHI4,ATTACKHI4,4b_00
48;O,ATTACKHI4,ATTACKHI4,47,00
49;O,ATTACKHI4,ATTACKHI4,48,00
50;O,ATTACKHI4,ATTACKHI4,4900
51;O,ATTACKHI¥,ATTACKHI4,so_oo
52;O,ATTACKHI4,ATTACKHI4,si,_oo
53;O,ATTACKHI¥,ATTACKHI4,s2_o00
