frame;text
1;O,EXCAPEB,ESCAPEB,oo
2;O,EXCAPEB,ESCAPEB,oo
3;O,EXCAPEB,ESCAPEB
4;O,EXCAPEB,ESCAPEB
5;O,EXCAPEB,ESCAPEB,_oo
6;O,EXCAPEB,ESCAPEB
7;O,EXCAPEB,ESCAPEB,_oo
8;O,EXCAPEB,ESCAPEB,_oo
9;O,EXCAPEB,ESCAPEB
10;O,EXCAPEB,ESCAPEB,_oo
11;O,EXCAPEB,ESCAPEB,10,00
12;O,EXCAPEB,ESCAPES,11.00
13;O,EXCAPEB,ESCAPEB,12,00
14;O,EXCAPEB,ESCAPEB,13,00
15;O,EXCAPEB,ESCAPES,14,00
16;O,EXCAPEB,ESCAPEB,15,00
17;O,EXCAPEB,ESCAPES,1b,00
18;O,EXCAPEB,ESCAPEB,17,00
19;O,EXCAPEB,ESCAPEB,18,00,a
20;O,EXCAPEB,ESCAPEB,19,00,J
21;O,EXCAPEB,ESCAPEB,20,00
22;O,EXCAPEB,ESCAPEB,el,_oo
23;O,EXCAPEB,ESCAPEB,e2_.oo
24;O,EXCAPEB,ESCAPEB,23,00
25;O,EXCAPEB,ESCAPES,e4,oo
26;O,EXCAPEB,ESCAPEB,25,00
27;O,EXCAPEB,ESCAPEB,2b_00
28;O,EXCAPEB,ESCAPES,e7,00
29;O,EXCAPEB,ESCAPEB,28,00
30;O,EXCAPEB,ESCAPES,29,00
