frame;text
1;O,ATTACKSAS,ATTACKS3S,oo,LR
2;O,ATTACKSAS,ATTACKS3S,LR
3;O,ATTACKSAS,ATTACKS3S,LR
4;O,ATTACKSAS,ATTACKS3S,_oo,LR
5;O,ATTACKSAS,ATTACKS3S,LR
6;O,ATTACKSAS,ATTACKS3S,_oo,LR
7;O,ATTACKSAS,ATTACKS3S,_oo,LR
8;O,ATTACKSAS,ATTACKSAS,LR
9;O,ATTACKSAS,ATTACKS3S,_oo,LR
10;O,ATTACKSAS,ATTACKS3S,10,00,LR
11;O,ATTACKSAS,ATTACKSAS,11.00,LR
12;O,ATTACKSAS,ATTACKS3S,12,00,LR
13;O,ATTACKSAS,ATTACKS3S,13,00,LR
14;O,ATTACKSAS,ATTACKSAS,14,00,LR
15;O,ATTACKSAS,ATTACKS3S,15,00,LR
16;O,ATTACKSAS,ATTACKSAS,1b,00,LR
17;O,ATTACKSAS,ATTACKSAS,17,00,LR
18;O,ATTACKSAS,ATTACKSAS,16,00,LR
19;O,ATTACKSAS,ATTACKSAS,19,00,LR
20;O,ATTACKSAS,ATTACKSAS,20,00,LR
21;O,ATTACKSAS,ATTACKSAS,21,00,LR
22;O,ATTACKSAS,ATTACKSAS,e2_.oo,LR
23;O,ATTACKSAS,ATTACKS3S,23,00,LR
24;O,ATTACKSAS,ATTACKS3S,e4,oo,LR
25;O,ATTACKSAS,ATTACKS3S,25,00,LR
26;O,ATTACKSAS,ATTACKS3S,2b_00,LR
27;O,ATTACKSAS,ATTACKS3S,e7,00,LR
28;O,ATTACKSAS,ATTACKS3S,28,00,LR
29;O,ATTACKSAS,ATTACKS3S,29,00,LR
30;O,ATTACKSAS,ATTACKS3S,30,00,LR
31;O,ATTACKSAS,ATTACKS3S,31,00,LR
32;O,ATTACKSAS,ATTACKS3S,32,00,LR
