frame;text
1;O,ATTACKS4S,ATTACKS4S,oo,LR
2;O,ATTACKS4S,ATTACKS4S,oo,LR
3;O,ATTACKS4S,ATTACKS4S,LR
4;O,ATTACKS4S,ATTACKS4S,LR
5;O,ATTACKS4S,ATTACKS4S,_oo,LR
6;O,ATTACKS4S,ATTACKS4S,LR
7;O,ATTACKS4S,ATTACKS4S,_oo,LR
8;O,ATTACKS4S,ATTACKS4S,_oo,LR
9;O,ATTACKS4S,ATTACKS4S,LR
10;O,ATTACKS4S,ATTACKS4S,_oo,LR
11;O,ATTACKS4S,ATTACKS4S,10,00,LR
12;O,ATTACKS4S,ATTACKS4S,11.00,LR
13;O,ATTACKS4S,ATTACKS4S,12,00,LR
14;O,ATTACKS4S,ATTACKS4S,13,00,LR
15;O,ATTACKS¥S,ATTACKS4S,14%,00,LR
16;O,ATTACKS4S,ATTACKS4S,1S.00,LR
17;O,ATTACKS4S,ATTACKS4S,1b,00,LR
18;O,ATTACKS4S,ATTACKS4S,17,00,LR
19;O,ATTACKS4S,ATTACKS4S,18,00,LR
20;O,ATTACKS4S,ATTACKS4#S,19,00,LR
21;O,ATTACKS4S,ATTACKS4S,20,00,LR
22;O,ATTACKS4S,ATTACKS4S,21,00,LR
23;\,/,/,‘,/,||,oq,00,"22,SHSHDVLLV,ShSaovilv,oO
24;O,ATTACKS4S,ATTACKS4S,23,00,LR
25;oq,00",2,SHSADVLIV,ShSADViLv,Oo
26;O,ATTACKS4S,ATTACKS4S,25,00,LR
27;O,ATTACKS4S,ATTACKS4S,2b_00,LR
28;O,ATTACKS4S,ATTACKS4S,27,00,LR
29;O,ATTACKS4S,ATTACKS4S,28,00,LR
30;O,ATTACKS4S,ATTACKS4S,29,00,LR
31;O,ATTACKS4S,ATTACKS4S,30,00,LR
32;O,ATTACKS4S,ATTACKS4S,31,00,LR
33;O,ATTACKS4S,ATTACKS4S,32,00,LR
34;O,ATTACKS4S,ATTACKS4S,33,00,LR
35;O,ATTACKS4S,ATTACKS4S,34.00,LR
36;O,ATTACKS4S,ATTACKS4S,35,00,LR
37;O,ATTACKS4S,ATTACKS4S,3b,_00,LR
38;O,ATTACKS4S,ATTACKS4S,37,00,LR
39;O,ATTACKS4S,ATTACKS4S,38,00,LR
40;O,ATTACKS4S,ATTACKS4S,39,00,LR
41;O,ATTACKS4S,ATTACKS4S,40,00,LR
42;O,ATTACKS4S,ATTACKS4S,41.00,LR
43;O,ATTACKS4S,ATTACKS4S,42,00,LR
44;O,ATTACKS4S,ATTACKS4S,43,00,LR
45;O,ATTACKS4S,ATTACKS#S,44.00,LR
46;O,ATTACKS4S,ATTACKS4S,45.00,LR
47;O,ATTACKS4S,ATTACKS4S,+b_OO,LR
48;O,ATTACKS4S,ATTACKS4S,47,00,LR
49;O,ATTACKS4S,ATTACKS4S,48,00,LR
50;O,ATTACKS4S,ATTACKS4S,49,00,LR
51;O,ATTACKS4S,ATTACKS4S,so_.o00,LR
52;O,ATTACKS4S,ATTACKS4S,S!1,00,LR
53;O,ATTACKS4S,ATTACKS4#S,se_oo,LR
54;O,ATTACKS4S,ATTACKS4#S,$3,000,LR
55;O,ATTACKS4S,ATTACKS4S,s4.00,LR
56;O,ATTACKS4S,ATTACKS4#S,ss_oo,LR
57;O,ATTACKS4S,ATTACKS4#S,Sb_oOo,LR
58;O,ATTACKS4S,ATTACKS4S,s?7,00,LR
