frame;text
1;O,ATTACKAIRG,ATTACKAIRB,oo
2;O,ATTACKAIRG,ATTACKAIRB
3;O,ATTACKAIRG,ATTACKAIRB
4;O,ATTACKAIRG,ATTACKAIRB,_oo
5;O,ATTACKAIRG,ATTACKAIRB
6;O,ATTACKAIRG,ATTACKAIRB,_oo
7;O,ATTACKAIRG,ATTACKAIRB,_oo
8;O,ATTACKAIRG,ATTACKAIRB
9;O,ATTACKAIRG,ATTACKAIRB,_oo
10;O,ATTACKAIRG,ATTACKAIRB,10,00
11;O,ATTACKAIRG,ATTACKAIRB,oo
12;O,ATTACKAIRG,ATTACKAIRB,12,00
13;O,ATTACKAIRG,ATTACKAIRB,13,00
14;O,ATTACKAIRG,ATTACKAIRB,14,00
15;O,ATTACKAIRG,ATTACKAIRB,15,00
16;O,ATTACKAIRG,ATTACKAIRB,1b,00
17;O,ATTACKAIRG,ATTACKAIRB,17,00
18;O,ATTACKAIRG,ATTACKAIRB,16,00
19;O,ATTACKAIRG,ATTACKAIRB,19,00
20;O,ATTACKAIRG,ATTACKAIRB,20,00
21;O,ATTACKAIRG,ATTACKAIRB,el,_oo
22;oo"ze,BUIVADVLLV,BMIVaADVLIV,Oo
23;oo"cea,BUIVADVLLV,BMIVaADVLIV,Oo
24;00",2,BYIVADVLIV,euIvaovilv,O
25;O,ATTACKAIRG,ATTACKAIRB,25,00
26;O,ATTACKAIRG,ATTACKAIRB,2b_00
27;oo"2ea,BUIVADVLLV,BMIVaADVLIV,Oo
28;O,ATTACKAIRG,ATTACKAIRB,28,00
29;O,ATTACKAIRG,ATTACKAIRB,29,00
30;O,ATTACKAIRG,ATTACKAIRB,30,00
